SN20150528123933 Miller test unit tz UTC,startMinute,0,minutes per hour,60
1471633693,2016-8-19 19:8:13,75,2101.10,16.59
1471633694,2016-8-19 19:8:14,0,2099.30,16.58
1471633694,2016-8-19 19:8:14,25,2096.50,16.58
1471633694,2016-8-19 19:8:14,50,2093.70,16.59
1471633694,2016-8-19 19:8:14,75,2091.40,16.59
1471633695,2016-8-19 19:8:15,0,2090.60,16.59
1471633695,2016-8-19 19:8:15,25,2089.10,16.59
1471633695,2016-8-19 19:8:15,50,2088.00,16.59
1471633695,2016-8-19 19:8:15,75,2086.90,16.59
1471633696,2016-8-19 19:8:16,0,2086.90,16.59
1471633696,2016-8-19 19:8:16,25,2086.90,16.58
1471633696,2016-8-19 19:8:16,50,2085.70,16.58
1471633696,2016-8-19 19:8:16,75,2085.40,16.58
1471633697,2016-8-19 19:8:17,0,2084.90,16.58
1471633697,2016-8-19 19:8:17,25,2083.20,16.58
1471633697,2016-8-19 19:8:17,50,2082.30,16.59
1471633697,2016-8-19 19:8:17,75,2081.70,16.58
1471633698,2016-8-19 19:8:18,0,2079.80,16.58
1471633698,2016-8-19 19:8:18,25,2080.30,16.59
1471633698,2016-8-19 19:8:18,50,2079.70,16.58
1471633698,2016-8-19 19:8:18,75,2079.50,16.58
1471633699,2016-8-19 19:8:19,0,2078.90,16.58
1471633699,2016-8-19 19:8:19,25,2080.00,16.58
1471633699,2016-8-19 19:8:19,50,2080.00,16.58
1471633699,2016-8-19 19:8:19,75,2080.60,16.57
1471633700,2016-8-19 19:8:20,0,2080.60,16.58
1471633700,2016-8-19 19:8:20,25,2082.30,16.57
1471633700,2016-8-19 19:8:20,50,2081.70,16.58
1471633700,2016-8-19 19:8:20,75,2082.30,16.58
1471633701,2016-8-19 19:8:21,0,2082.30,16.58
1471633701,2016-8-19 19:8:21,25,2081.70,16.57
1471633701,2016-8-19 19:8:21,50,2082.60,16.57
1471633701,2016-8-19 19:8:21,75,2082.60,16.57
1471633702,2016-8-19 19:8:22,0,2082.60,16.57
1471633702,2016-8-19 19:8:22,25,2082.30,16.57
1471633702,2016-8-19 19:8:22,50,2082.60,16.57
1471633702,2016-8-19 19:8:22,75,2083.40,16.57
1471633703,2016-8-19 19:8:23,0,2084.00,16.57
1471633703,2016-8-19 19:8:23,25,2085.40,16.57
1471633703,2016-8-19 19:8:23,50,2086.00,16.56
1471633703,2016-8-19 19:8:23,75,2087.40,16.56
1471633704,2016-8-19 19:8:24,0,2088.50,16.57
1471633704,2016-8-19 19:8:24,25,2088.80,16.57
1471633704,2016-8-19 19:8:24,50,2089.70,16.57
1471633704,2016-8-19 19:8:24,75,2089.90,16.57
1471633705,2016-8-19 19:8:25,0,2090.50,16.56
1471633705,2016-8-19 19:8:25,25,2091.60,16.57
1471633705,2016-8-19 19:8:25,50,2091.40,16.57
1471633705,2016-8-19 19:8:25,75,2093.30,16.56
1471633706,2016-8-19 19:8:26,0,2093.90,16.56
1471633706,2016-8-19 19:8:26,25,2094.80,16.56
1471633706,2016-8-19 19:8:26,50,2096.50,16.57
1471633706,2016-8-19 19:8:26,75,2098.40,16.56
1471633707,2016-8-19 19:8:27,0,2099.90,16.56
1471633707,2016-8-19 19:8:27,25,2101.00,16.57
1471633707,2016-8-19 19:8:27,50,2104.40,16.56
1471633707,2016-8-19 19:8:27,75,2106.70,16.56
1471633708,2016-8-19 19:8:28,0,2108.10,16.56
1471633708,2016-8-19 19:8:28,25,2111.50,16.56
1471633708,2016-8-19 19:8:28,50,2112.60,16.56
1471633708,2016-8-19 19:8:28,75,2114.60,16.55
1471633709,2016-8-19 19:8:29,0,2115.70,16.55
1471633709,2016-8-19 19:8:29,25,2117.10,16.55
1471633709,2016-8-19 19:8:29,50,2116.80,16.55
1471633709,2016-8-19 19:8:29,75,2115.50,16.56
1471633710,2016-8-19 19:8:30,0,2114.90,16.56
1471633710,2016-8-19 19:8:30,25,2112.30,16.55
1471633710,2016-8-19 19:8:30,50,2110.60,16.55
1471633710,2016-8-19 19:8:30,75,2106.10,16.55
1471633711,2016-8-19 19:8:31,0,2104.90,16.55
1471633711,2016-8-19 19:8:31,25,2098.70,16.55
1471633711,2016-8-19 19:8:31,50,2094.20,16.55
1471633711,2016-8-19 19:8:31,75,2089.10,16.56
1471633713,2016-8-19 19:8:33,0,2068.90,16.55
1471633713,2016-8-19 19:8:33,25,2066.60,16.55
1471633713,2016-8-19 19:8:33,50,2064.60,16.55
1471633713,2016-8-19 19:8:33,75,2062.60,16.55
1471633714,2016-8-19 19:8:34,0,2061.20,16.55
1471633714,2016-8-19 19:8:34,25,2060.40,16.55
1471633714,2016-8-19 19:8:34,50,2060.10,16.55
1471633714,2016-8-19 19:8:34,75,2060.10,16.55
1471633715,2016-8-19 19:8:35,0,2061.50,16.55
1471633715,2016-8-19 19:8:35,25,2062.40,16.55
1471633715,2016-8-19 19:8:35,50,2063.20,16.55
1471633715,2016-8-19 19:8:35,75,2064.60,16.55
1471633716,2016-8-19 19:8:36,0,2066.30,16.54
1471633716,2016-8-19 19:8:36,25,2068.00,16.55
1471633716,2016-8-19 19:8:36,50,2070.30,16.54
1471633716,2016-8-19 19:8:36,75,2073.40,16.55
1471633717,2016-8-19 19:8:37,0,2075.70,16.55
1471633717,2016-8-19 19:8:37,25,2078.20,16.54
1471633717,2016-8-19 19:8:37,50,2080.50,16.55
1471633717,2016-8-19 19:8:37,75,2085.00,16.54
1471633718,2016-8-19 19:8:38,0,2088.40,16.54
1471633718,2016-8-19 19:8:38,25,2092.40,16.54
1471633718,2016-8-19 19:8:38,50,2096.40,16.54
1471633718,2016-8-19 19:8:38,75,2100.60,16.54
1471633719,2016-8-19 19:8:39,0,2105.50,16.54
1471633719,2016-8-19 19:8:39,25,2108.60,16.54
1471633719,2016-8-19 19:8:39,50,2112.50,16.54
1471633719,2016-8-19 19:8:39,75,2114.80,16.54
1471633720,2016-8-19 19:8:40,0,2116.80,16.53
1471633720,2016-8-19 19:8:40,25,2119.60,16.53
1471633720,2016-8-19 19:8:40,50,2120.50,16.54
1471633720,2016-8-19 19:8:40,75,2121.30,16.54
1471633721,2016-8-19 19:8:41,0,2120.50,16.54
1471633721,2016-8-19 19:8:41,25,2120.50,16.54
1471633721,2016-8-19 19:8:41,50,2118.80,16.54
1471633721,2016-8-19 19:8:41,75,2116.80,16.54
1471633722,2016-8-19 19:8:42,0,2114.50,16.53
1471633722,2016-8-19 19:8:42,25,2111.10,16.54
1471633722,2016-8-19 19:8:42,50,2108.60,16.54
1471633722,2016-8-19 19:8:42,75,2106.30,16.53
1471633723,2016-8-19 19:8:43,0,2103.20,16.53
1471633723,2016-8-19 19:8:43,25,2100.60,16.53
1471633723,2016-8-19 19:8:43,50,2098.60,16.53
1471633723,2016-8-19 19:8:43,75,2096.90,16.53
1471633724,2016-8-19 19:8:44,0,2093.80,16.53
1471633724,2016-8-19 19:8:44,25,2093.50,16.53
1471633724,2016-8-19 19:8:44,50,2092.40,16.53
1471633724,2016-8-19 19:8:44,75,2092.10,16.54
1471633725,2016-8-19 19:8:45,0,2090.90,16.53
1471633725,2016-8-19 19:8:45,25,2090.70,16.54
1471633725,2016-8-19 19:8:45,50,2090.10,16.53
1471633725,2016-8-19 19:8:45,75,2089.50,16.53
1471633726,2016-8-19 19:8:46,0,2090.40,16.53
1471633726,2016-8-19 19:8:46,25,2090.10,16.53
1471633726,2016-8-19 19:8:46,50,2089.80,16.53
1471633726,2016-8-19 19:8:46,75,2089.50,16.52
1471633727,2016-8-19 19:8:47,0,2089.20,16.52
1471633727,2016-8-19 19:8:47,25,2088.40,16.53
1471633727,2016-8-19 19:8:47,50,2087.00,16.53
1471633727,2016-8-19 19:8:47,75,2085.30,16.52
1471633728,2016-8-19 19:8:48,0,2083.30,16.52
1471633728,2016-8-19 19:8:48,25,2081.00,16.52
1471633728,2016-8-19 19:8:48,50,2079.30,16.53
1471633728,2016-8-19 19:8:48,75,2076.20,16.52
1471633729,2016-8-19 19:8:49,0,2073.10,16.52
1471633729,2016-8-19 19:8:49,25,2070.80,16.53
1471633729,2016-8-19 19:8:49,50,2069.60,16.52
1471633729,2016-8-19 19:8:49,75,2066.80,16.52
1471633730,2016-8-19 19:8:50,0,2065.40,16.52
1471633730,2016-8-19 19:8:50,25,2064.20,16.52
1471633730,2016-8-19 19:8:50,50,2064.30,16.52
1471633730,2016-8-19 19:8:50,75,2064.50,16.52
1471633731,2016-8-19 19:8:51,0,2066.20,16.51
1471633731,2016-8-19 19:8:51,25,2067.40,16.52
1471633731,2016-8-19 19:8:51,50,2071.10,16.52
1471633731,2016-8-19 19:8:51,75,2074.70,16.52
1471633732,2016-8-19 19:8:52,0,2078.20,16.52
1471633732,2016-8-19 19:8:52,25,2083.30,16.52
1471633732,2016-8-19 19:8:52,50,2087.20,16.52
1471633732,2016-8-19 19:8:52,75,2090.10,16.51
1471633733,2016-8-19 19:8:53,0,2094.30,16.51
1471633733,2016-8-19 19:8:53,25,2098.00,16.52
